
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-06-06 11:29:33 /health .......................................... ~ 1s
  2026-06-06 11:29:34 /health .................................... ~ 500.60ms
  2026-06-06 11:30:11 /api/auth/login .............................. ~ 0.08ms
  2026-06-06 11:30:11 /api/auth/login ............................ ~ 500.45ms
  2026-06-06 11:30:11 /api/auth/login .............................. ~ 0.03ms
  2026-06-06 11:30:34 /api/auth/login .............................. ~ 0.11ms
  2026-06-06 11:30:34 /api/auth/login ............................ ~ 500.31ms
  2026-06-06 11:30:35 /api/session ............................... ~ 500.61ms
  2026-06-06 11:31:04 /api/skills .................................. ~ 0.22ms
  2026-06-06 11:31:04 /api/chat/stream ............................. ~ 0.11ms
  2026-06-06 11:31:04 /api/chat/stream ................................. ~ 5s
  2026-06-06 11:31:11 /api/session/state ........................... ~ 0.21ms
  2026-06-06 11:31:11 /api/session/state ......................... ~ 500.63ms
  2026-06-06 11:31:13 /api/session/state ........................... ~ 0.12ms
  2026-06-06 11:31:13 /api/session/state ......................... ~ 500.54ms
  2026-06-06 11:31:15 /api/session/state ........................... ~ 0.22ms
  2026-06-06 11:31:15 /api/session/state ........................... ~ 0.12ms
  2026-06-06 11:31:17 /api/session/state ........................... ~ 0.14ms
  2026-06-06 11:31:17 /api/session/state ......................... ~ 500.71ms
  2026-06-06 11:31:20 /api/session/state ........................... ~ 0.06ms
  2026-06-06 11:31:20 /api/session/state ........................... ~ 0.03ms
  2026-06-06 11:31:22 /api/session/state ........................... ~ 0.21ms
  2026-06-06 11:31:22 /api/session/state ......................... ~ 500.65ms
  2026-06-06 11:31:24 /api/session/state ........................... ~ 0.07ms
  2026-06-06 11:31:24 /api/session/state ........................... ~ 0.03ms
  2026-06-06 11:31:26 /api/session/state ........................... ~ 0.21ms
  2026-06-06 11:31:26 /api/session/state ......................... ~ 500.90ms
  2026-06-06 11:31:29 /api/session/state ........................... ~ 0.22ms
  2026-06-06 11:31:29 /api/session/state ........................... ~ 0.11ms
  2026-06-06 11:31:31 /api/session/state ........................... ~ 0.25ms
  2026-06-06 11:31:31 /api/session/state ......................... ~ 500.60ms
  2026-06-06 11:31:33 /api/session/state ........................... ~ 0.06ms
  2026-06-06 11:31:33 /api/session/state ........................... ~ 0.02ms
  2026-06-06 11:31:35 /api/session/state ........................... ~ 0.27ms
  2026-06-06 11:31:35 /api/session/state ......................... ~ 500.69ms
  2026-06-06 11:31:38 /api/session/state ........................... ~ 0.15ms
  2026-06-06 11:31:38 /api/session/state ............................... ~ 1s
  2026-06-06 11:31:40 /api/session/state ........................... ~ 0.28ms
  2026-06-06 11:31:40 /api/session/state ......................... ~ 500.59ms
  2026-06-06 11:31:42 /api/session/state ........................... ~ 0.32ms
  2026-06-06 11:31:42 /api/session/state ........................... ~ 0.11ms
  2026-06-06 11:31:44 /api/session/state ........................... ~ 0.29ms
  2026-06-06 11:31:44 /api/session/state ......................... ~ 500.63ms
