
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-05-11 22:21:02 /api/skills .................................. ~ 0.33ms
  2026-05-11 22:21:02 /api/community/projects .................... ~ 501.02ms
  2026-05-11 22:21:02 /api/projects/publish ...................... ~ 502.44ms
  2026-05-11 22:21:30 /api/community/projects ...................... ~ 0.07ms
  2026-05-11 22:22:43 /api/session/state ........................... ~ 0.11ms
  2026-05-11 22:22:43 /api/session/state ........................... ~ 0.67ms
  2026-05-11 22:22:43 /api/session/state ........................... ~ 1.13ms
  2026-05-11 22:22:43 /api/session/state ........................... ~ 1.46ms
  2026-05-11 22:24:11 /api/level/activity .......................... ~ 0.13ms
  2026-05-11 22:24:11 /api/level/activity ........................ ~ 500.27ms
  2026-05-11 22:24:22 /api/session/state ......................... ~ 500.74ms
  2026-05-11 22:24:22 /api/session/state ......................... ~ 500.66ms
  2026-05-11 22:24:24 /api/session/state ........................... ~ 0.27ms
  2026-05-11 22:24:24 /api/session/state ......................... ~ 500.71ms
  2026-05-11 22:24:26 /api/session/state ......................... ~ 500.69ms
  2026-05-11 22:24:26 /api/session/state ........................... ~ 0.18ms
  2026-05-11 22:24:28 /api/session/state ........................... ~ 0.32ms
  2026-05-11 22:24:28 /api/session/state ........................... ~ 0.23ms
  2026-05-11 22:24:31 /api/session/state ......................... ~ 500.74ms
  2026-05-11 22:24:31 /api/session/state ........................... ~ 0.24ms
  2026-05-11 22:24:33 /api/session/state ........................... ~ 0.36ms
  2026-05-11 22:24:33 /api/session/state ......................... ~ 500.41ms
  2026-05-11 22:24:35 /api/session/state ......................... ~ 500.84ms
  2026-05-11 22:24:35 /api/session/state ........................... ~ 0.25ms
  2026-05-11 22:24:37 /api/session/state ........................... ~ 0.28ms
  2026-05-11 22:24:37 /api/session/state ......................... ~ 500.85ms
  2026-05-11 22:24:40 /api/session/state ........................... ~ 0.27ms
  2026-05-11 22:24:40 /api/session/state ........................... ~ 0.14ms
  2026-05-11 22:24:42 /api/session/state ........................... ~ 0.24ms
  2026-05-11 22:24:42 /api/session/state ......................... ~ 500.81ms
  2026-05-11 22:24:44 /api/session/state ........................... ~ 0.27ms
  2026-05-11 22:24:44 /api/session/state ........................... ~ 0.14ms
  2026-05-11 22:24:47 /api/session/state ........................... ~ 0.35ms
  2026-05-11 22:24:47 /api/session/state ......................... ~ 500.73ms
  2026-05-11 22:24:49 /api/session/state ........................... ~ 0.32ms
  2026-05-11 22:24:49 /api/session/state ........................... ~ 0.28ms
  2026-05-11 22:24:51 /api/session/state ........................... ~ 0.31ms
  2026-05-11 22:24:51 /api/session/state ......................... ~ 500.71ms
  2026-05-11 22:24:53 /api/session/state ........................... ~ 0.35ms
  2026-05-11 22:24:53 /api/session/state ........................... ~ 0.23ms
  2026-05-11 22:24:56 /api/session/state ........................... ~ 0.12ms
  2026-05-11 22:24:56 /api/session/state ......................... ~ 500.76ms
  2026-05-11 22:24:58 /api/session/state ........................... ~ 0.21ms
  2026-05-11 22:24:58 /api/session/state ........................... ~ 0.13ms
  2026-05-11 22:25:00 /api/session/state ........................... ~ 0.28ms
  2026-05-11 22:25:00 /api/session/state ......................... ~ 500.71ms
  2026-05-11 22:25:02 /api/session/state ........................... ~ 0.26ms
  2026-05-11 22:25:02 /api/session/state ........................... ~ 0.24ms
  2026-05-11 22:25:05 /api/session/state ........................... ~ 0.34ms
  2026-05-11 22:25:05 /api/session/state ......................... ~ 500.62ms
  2026-05-11 22:25:07 /api/session/state ........................... ~ 0.26ms
  2026-05-11 22:25:07 /api/session/state ........................... ~ 0.21ms
  2026-05-11 22:25:09 /api/session/state ........................... ~ 0.10ms
  2026-05-11 22:25:09 /api/session/state ......................... ~ 500.31ms
  2026-05-11 22:25:11 /api/session/state ........................... ~ 0.12ms
  2026-05-11 22:25:11 /api/session/state ........................... ~ 0.10ms
  2026-05-11 22:25:14 /api/session/state ........................... ~ 0.09ms
  2026-05-11 22:25:14 /api/session/state ......................... ~ 500.59ms
  2026-05-11 22:25:16 /api/session/state ........................... ~ 0.36ms
  2026-05-11 22:25:16 /api/session/state ........................... ~ 0.18ms
  2026-05-11 22:25:18 /api/session/state ........................... ~ 0.12ms
  2026-05-11 22:25:18 /api/session/state ......................... ~ 500.77ms
  2026-05-11 22:25:21 /api/session/state ........................... ~ 0.15ms
  2026-05-11 22:25:21 /api/session/state ........................... ~ 0.10ms
  2026-05-11 22:25:23 /api/session/state ......................... ~ 500.96ms
