"ID","Area","Change","Description","Status","Worktree_or_PR","Source_file"
"A01","Agent","Task history","Active/recent task list, search, filters and task details.","Uncommitted; absent from 0.5.0","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src/components/agentMode/TaskHistory.tsx"
"A02","Agent","Saved task outputs and evidence","Original instructions/access/account snapshot, saved answers, tool records and Codex file diffs.","Uncommitted; absent from 0.5.0","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src-tauri/crates/vibyra-core/src/agent_runs/artifacts.rs"
"A03","Agent","Durable tasks and recovery","Succeeded/failed/cancelled/interrupted outcomes, admission limits, crash recovery and renderer event reconciliation.","Uncommitted; absent from 0.5.0","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src-tauri/crates/vibyra-core/src/agent_runs/store.rs"
"A04","Agent","Codex App Server integration","New/resumed conversations use checked permission profiles and structured provider events.","Uncommitted; absent from 0.5.0","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src-tauri/src/agent_mode/codex_server/runtime.rs"
"A05","Agent","Current access and revocation enforcement","Intersect task access with teammate limits; recheck grants and stop work when access is revoked.","Uncommitted improvements","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src-tauri/src/agent_mode/gate/context.rs"
"A06","Agent","Stronger approval decisions","Request/context fingerprints, tool-call identity, authority rechecks and stricter command classification.","Uncommitted improvements","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src-tauri/src/agent_mode/gate/decide.rs"
"A07","Agent","Safer attachments and managed files","Ownership/symlink checks, bounded file copies, attachment manifests and provider image/PDF delivery.","Uncommitted improvements","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src-tauri/crates/vibyra-core/src/agent_chats/managed_paths.rs"
"A08","Agent","Reviewable learning proposals","Memory/skill proposals stay pending human review with task provenance and bounded proposal counts.","Uncommitted improvements","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src-tauri/src/agent_mode/bridge/proposal_tools.rs"
"A09","Agent","Handoff receipts","Link parent/child tasks, preserve separate access and return saved child outcomes to the parent.","Uncommitted improvements","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src-tauri/src/commands/agent_handoff_receipt.rs"
"A10","Agent","Routine execution reliability","Routines share task admission/execution checks and persist failed/cancelled outcomes correctly.","Uncommitted improvements","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src-tauri/src/agent_mode/scheduler.rs"
"A11","Agent","Draft and conversation recovery","Per-chat text/access/account drafts, IME handling, retry settings and paginated conversation recovery.","Uncommitted improvements","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src/state/agentDraftStore.ts"
"A12","Agent","Restore archived chats and teammates","Visible archive restoration rather than losing access to archived conversations/profiles.","Uncommitted; absent from 0.5.0","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src/components/agentMode/ArchivedChats.tsx"
"A13","Agent","Task starters and provider readiness","Editable release-review/code-change/evidence-comparison starters and provider compatibility rechecks.","Uncommitted; absent from 0.5.0","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src/components/agentMode/TaskStarters.tsx"
"A14","Agent","Explicit task account and execution limits","Per-chat provider account choice, stored account reference, compatibility floor, deadlines and observed tool-count cancellation.","Uncommitted improvements","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a062ef22f2-0","desktop-tauri/src/components/agentMode/ComposerAccount.tsx"
"M01","Models","GPT-6 Astra in desktop","Model picker entry, artwork, effort options and runner routing.","Committed in 0.5.1; not published","/home/ellis/.config/vibyra-desktop/terminal-worktrees/release-0.5.1","desktop-tauri/src/lib/staticModels.ts"
"M02","Backend","Astra backend model support","Chat/streaming aliases and billing configuration for Astra.","Absent from 0.5.0 source; runtime deployment not independently checked","/home/ellis/.config/vibyra-desktop/terminal-worktrees/release-0.5.1","backend/config/billing.php"
"I01","Host","Persistent computer-side Host","Standalone Host owns terminal sessions, events, history, projects, process stop and recovery.","Committed WIP; absent from release line","/home/ellis/Desktop/Vibyra-iOS","host/crates/engine/src/sessions.rs"
"I02","Host/mobile","Encrypted pairing and relay","Noise transport, pinned host identity, invitations, local approval, relay and saved reconnect trust.","Committed WIP plus local changes; not released","/home/ellis/Desktop/Vibyra-iOS","host/crates/server/src/auth.rs"
"I03","iPhone","New mobile workspace interface","Conversation-first composer, searchable sidebar, project/computer selection and light/dark/system themes.","Committed foundation plus uncommitted redesign","/home/ellis/Desktop/Vibyra-iOS","mobile/src/ui/WorkspaceApp.tsx"
"I04","iPhone","Live remote terminal and controls","ANSI/Unicode terminal, output reconciliation, observation/control leases, keyboard keys, resize, reconnect and stop.","Committed foundation plus uncommitted implementation","/home/ellis/Desktop/Vibyra-iOS","mobile/src/terminal/TerminalSurface.tsx"
"I05","iPhone","Project files and change review","Host-backed file browsing/text reads and colored working-tree diffs for the selected project.","Committed foundation plus uncommitted redesign","/home/ellis/Desktop/Vibyra-iOS","mobile/src/ui/ReviewSheet.tsx"
"I06","iPhone","Optional sample workspace","Clearly labelled sample conversations/decisions/previews in Settings, separate from live Host work.","Uncommitted demo UI; not a live provider feature","/home/ellis/Desktop/Vibyra-iOS","mobile/src/demo/useDemoWorkspace.ts"
"R01","Release","Exclude downloaded installers from Git","Remove old tracked release artifacts and ignore release-set so package verification sees only the candidate set.","Cleanup committed; latest CI ran earlier broken commit","/home/ellis/.config/vibyra-desktop/terminal-worktrees/release-0.5.1","desktop-tauri/.gitignore"
"D01","Desktop draft","Disable unfinished Custom agents/settings entry","A draft WIP gate also disables the old dock Chat panel; the published dock has since replaced Chat with Ask.","Uncommitted draft; requires selective review, not wholesale merging","/home/ellis/.config/vibyra-desktop/terminal-worktrees/vibyra-1a061431c4e-1","desktop-tauri/src/lib/wipFeatures.ts"
"P18","Maintenance","Backend PHP dependency updates","Open grouped proposal: 7 direct updates; release lockfile does not contain the complete proposal.","Open PR; requires reconciliation/testing","https://github.com/ellisthreader/Vibyra/pull/18",""
"P19","Maintenance","Website build dependency updates","Open grouped proposal: 9 direct updates; release lockfile differs.","Open PR; requires reconciliation/testing","https://github.com/ellisthreader/Vibyra/pull/19",""
"P20","Maintenance","Root/legacy Expo dependency updates","Open grouped proposal: 31 direct updates; distinct from the replacement mobile app.","Open PR; requires scope/SDK review","https://github.com/ellisthreader/Vibyra/pull/20",""
"P21","Maintenance","GitHub Actions updates","Open grouped proposal: 8 action updates against the older main branch.","Open PR; requires reconciliation with current release workflow","https://github.com/ellisthreader/Vibyra/pull/21",""
